"RESPONSE_CAT","Response","MEASURE","Measure","REGIONTYPE","Geography Level","AEC_FED_2017","Federal Electoral Division","TIME","Year","Value","Flag Codes","Flags"
"EP_TOT","Eligible Participant - Total","1","Number (No.)","AUS","Australia","0","Australia","2017","2017",16006180,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","AUS","Australia","0","Australia","2017","2017",12691234,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","AUS","Australia","0","Australia","2017","2017",36686,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","AUS","Australia","0","Australia","2017","2017",3278260,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","AUS","Australia","0","Australia","2017","2017",12691234,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","AUS","Australia","0","Australia","2017","2017",7817247,,
"RESPCLR_N","Response clear - No","1","Number (No.)","AUS","Australia","0","Australia","2017","2017",4873987,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","AUS","Australia","0","Australia","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","AUS","Australia","0","Australia","2017","2017",79.3,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","AUS","Australia","0","Australia","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","AUS","Australia","0","Australia","2017","2017",20.5,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","AUS","Australia","0","Australia","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","AUS","Australia","0","Australia","2017","2017",61.6,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","AUS","Australia","0","Australia","2017","2017",38.4,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","STE","States and Territories","1","New South Wales","2017","2017",5187681,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","STE","States and Territories","1","New South Wales","2017","2017",4111200,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","STE","States and Territories","1","New South Wales","2017","2017",11036,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","STE","States and Territories","1","New South Wales","2017","2017",1065445,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","STE","States and Territories","1","New South Wales","2017","2017",4111200,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","STE","States and Territories","1","New South Wales","2017","2017",2374362,,
"RESPCLR_N","Response clear - No","1","Number (No.)","STE","States and Territories","1","New South Wales","2017","2017",1736838,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","STE","States and Territories","1","New South Wales","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","STE","States and Territories","1","New South Wales","2017","2017",79.2,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","STE","States and Territories","1","New South Wales","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","STE","States and Territories","1","New South Wales","2017","2017",20.5,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","STE","States and Territories","1","New South Wales","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","STE","States and Territories","1","New South Wales","2017","2017",57.8,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","STE","States and Territories","1","New South Wales","2017","2017",42.2,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","STE","States and Territories","2","Victoria","2017","2017",4061389,,
