"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Banks","Total participants",1253,3263,3015,3018,3354,3554,3877,3932,3988,3504,3093,2540,2085,1672,2018,44166,84326
"Banks","Eligible participants",1514,4095,3959,4070,4362,4511,4871,4787,4726,4069,3520,2870,2329,1943,2528,54154,105254
"Banks","Participation rate (%)",82.8,79.7,76.2,74.2,76.9,78.8,79.6,82.1,84.4,86.1,87.9,88.5,89.5,86.1,79.8,81.6,80.1
"Barton","Total participants",1061,3205,3407,3853,3631,3847,4105,3821,3449,3217,2930,2418,1979,1525,1431,43879,85363
"Barton","Eligible participants",1309,4101,4516,5273,4909,4895,5064,4761,4314,3848,3401,2786,2339,1832,1942,55290,109371
"Barton","Participation rate (%)",81.1,78.2,75.4,73.1,74,78.6,81.1,80.3,79.9,83.6,86.2,86.8,84.6,83.2,73.7,79.4,78
"Bennelong","Total participants",1178,3486,3120,3338,3592,3621,4124,4096,3930,3603,3005,2351,1922,1585,1992,44943,86402
"Bennelong","Eligible participants",1398,4264,3966,4420,4724,4584,4968,4883,4594,4110,3352,2606,2145,1817,2435,54266,106375
"Bennelong","Participation rate (%)",84.3,81.8,78.7,75.5,76,79,83,83.9,85.5,87.7,89.6,90.2,89.6,87.2,81.8,82.8,81.2
"Berowra","Total participants",1562,3799,2616,2401,3084,3889,4562,4479,4552,3863,3401,2961,2050,1330,1609,46158,89052
"Berowra","Eligible participants",1823,4450,3182,2977,3809,4738,5430,5183,5122,4300,3709,3182,2221,1479,1943,53548,105090
"Berowra","Participation rate (%)",85.7,85.4,82.2,80.7,81,82.1,84,86.4,88.9,89.8,91.7,93.1,92.3,89.9,82.8,86.2,84.7
"Blaxland","Total participants",1216,3631,3412,3401,3184,3197,3395,3314,3462,3079,2593,2018,1527,1189,1382,40000,78552
"Blaxland","Eligible participants",1595,4854,4813,4843,4501,4341,4502,4279,4340,3782,3082,2375,1823,1451,1823,52404,104435
"Blaxland","Participation rate (%)",76.2,74.8,70.9,70.2,70.7,73.6,75.4,77.4,79.8,81.4,84.1,85,83.8,81.9,75.8,76.3,75.2
"Bradfield","Total participants",1615,3629,2557,2481,3303,3899,4777,4458,4061,3361,3265,2981,2285,1777,2225,46674,88810
"Bradfield","Eligible participants",1833,4276,3109,3265,4261,4817,5636,5205,4646,3824,3639,3253,2487,1990,2734,54975,106071
"Bradfield","Participation rate (%)",88.1,84.9,82.2,76,77.5,80.9,84.8,85.6,87.4,87.9,89.7,91.6,91.9,89.3,81.4,84.9,83.7
"Calare","Total participants",1255,3017,3108,3218,3080,3485,3959,3991,4430,4133,4059,3487,2422,1755,1615,47014,90155
"Calare","Eligible participants",1627,4385,4437,4447,4237,4514,5005,4875,5167,4748,4513,3848,2729,2023,2048,58603,115497
"Calare","Participation rate (%)",77.1,68.8,70,72.4,72.7,77.2,79.1,81.9,85.7,87,89.9,90.6,88.8,86.8,78.9,80.2,78.1
"Chifley","Total participants",1294,3834,3429,3662,3562,3479,3676,3572,3552,3214,2833,2099,1374,901,790,41271,79836
"Chifley","Eligible participants",1767,5506,5163,5437,5204,4802,4836,4513,4301,3824,3283,2417,1608,1085,1060,54806,108016
"Chifley","Participation rate (%)",73.2,69.6,66.4,67.4,68.4,72.4,76,79.1,82.6,84,86.3,86.8,85.4,83,74.5,75.3,73.9
"Cook","Total participants",1171,3099,3183,3137,3209,3564,4021,3836,3842,3650,3387,3033,2307,1908,2319,45666,86538
"Cook","Eligible participants",1409,3790,3969,3938,4039,4501,4935,4536,4475,4107,3755,3325,2527,2141,2809,54256,105251
"Cook","Participation rate (%)",83.1,81.8,80.2,79.7,79.5,79.2,81.5,84.6,85.9,88.9,90.2,91.2,91.3,89.1,82.6,84.2,82.2
"Cowper","Total participants",1112,2527,2554,2557,2747,3236,3930,4155,5209,5173,5201,4632,3272,2417,2451,51173,96125
"Cowper","Eligible participants",1516,3716,3650,3669,3771,4266,4929,5110,6133,5890,5754,5060,3603,2741,3098,62906,121322
"Cowper","Participation rate (%)",73.4,68,70,69.7,72.8,75.9,79.7,81.3,84.9,87.8,90.4,91.5,90.8,88.2,79.1,81.3,79.2
"Cunningham","Total participants",1487,4256,3614,3489,3398,3807,3955,4015,4238,3865,3393,2925,2287,1697,1913,48339,93014
"Cunningham","Eligible participants",1799,5237,4560,4352,4283,4686,4739,4700,4857,4358,3756,3249,2587,1988,2447,57598,113621
"Cunningham","Participation rate (%)",82.7,81.3,79.3,80.2,79.3,81.2,83.5,85.4,87.3,88.7,90.3,90,88.4,85.4,78.2,83.9,81.9
"Dobell","Total participants",1392,3476,3205,3266,3224,3455,3979,3826,4279,4095,3991,3488,2564,1899,2106,48245,90717
"Dobell","Eligible participants",1745,4681,4419,4334,4344,4510,4967,4646,5022,4678,4447,3835,2853,2180,2768,59429,114992
"Dobell","Participation rate (%)",79.8,74.3,72.5,75.4,74.2,76.6,80.1,82.4,85.2,87.5,89.7,91,89.9,87.1,76.1,81.2,78.9
"Eden-Monaro","Total participants",1122,2553,2622,2909,3031,3484,4268,4282,4785,4521,4075,3120,2095,1370,1394,45631,88398
