"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Males.b.","Total.Persons"
"Banks","Total participants",1102,3098,2918,2895,2982,3172,3477,3523,3764,3297,2851,2366,1636,1352,1247,39680,84326
"Banks","Eligible participants",1431,4224,4036,4188,4197,4239,4419,4471,4621,3948,3257,2631,1836,1531,1499,50528,105254
"Banks","Participation rate (%)",77,73.3,72.3,69.1,71.1,74.8,78.7,78.8,81.5,83.5,87.5,89.9,89.1,88.3,83.2,78.5,80.1
"Barton","Total participants",977,3047,3231,3678,3667,3673,3744,3610,3291,2948,2720,2293,1775,1323,1111,41088,85363
"Barton","Eligible participants",1278,4186,4594,5305,5176,4935,4852,4562,4162,3670,3245,2685,1999,1599,1368,53616,109371
"Barton","Participation rate (%)",76.4,72.8,70.3,69.3,70.8,74.4,77.2,79.1,79.1,80.3,83.8,85.4,88.8,82.7,81.2,76.6,78
"Bennelong","Total participants",1177,3356,3106,3245,3404,3405,3563,3742,3657,3301,2863,2124,1620,1221,1195,40979,86402
"Bennelong","Eligible participants",1488,4492,4316,4580,4792,4463,4456,4586,4367,3830,3239,2351,1785,1371,1422,51538,106375
"Bennelong","Participation rate (%)",79.1,74.7,72,70.9,71,76.3,80,81.6,83.7,86.2,88.4,90.3,90.8,89.1,84,79.5,81.2
"Berowra","Total participants",1523,3767,2687,2241,2594,3439,3852,4073,4209,3736,3235,2799,1841,1212,1085,42293,89052
"Berowra","Eligible participants",1916,4808,3541,2934,3397,4405,4760,4832,4891,4221,3569,3033,1999,1308,1225,50839,105090
"Berowra","Participation rate (%)",79.5,78.3,75.9,76.4,76.4,78.1,80.9,84.3,86.1,88.5,90.6,92.3,92.1,92.7,88.6,83.2,84.7
"Blaxland","Total participants",1152,3530,3204,3216,3161,3108,3196,3328,3388,2965,2622,2182,1428,950,891,38321,78552
"Blaxland","Eligible participants",1555,4968,4653,4764,4648,4424,4398,4443,4451,3772,3119,2585,1692,1132,1142,51746,104435
"Blaxland","Participation rate (%)",74.1,71.1,68.9,67.5,68,70.3,72.7,74.9,76.1,78.6,84.1,84.4,84.4,83.9,78,74.1,75.2
"Bradfield","Total participants",1503,3384,2556,2197,2897,3432,4034,4025,3914,3091,2847,2636,1976,1482,1545,41519,88810
"Bradfield","Eligible participants",1826,4326,3395,3121,3898,4398,4987,4790,4540,3548,3193,2892,2130,1610,1740,50394,106071
"Bradfield","Participation rate (%)",82.3,78.2,75.3,70.4,74.3,78,80.9,84,86.2,87.1,89.2,91.1,92.8,92,88.8,82.4,83.7
"Calare","Total participants",1163,2777,2764,2835,2782,2988,3615,3655,4206,3867,3981,3380,2214,1398,1022,42647,90155
"Calare","Eligible participants",1643,4398,4399,4328,4126,4327,4910,4753,5187,4596,4529,3792,2500,1579,1233,56300,115497
"Calare","Participation rate (%)",70.8,63.1,62.8,65.5,67.4,69.1,73.6,76.9,81.1,84.1,87.9,89.1,88.6,88.5,82.9,75.7,78.1
"Chifley","Total participants",1287,3553,3283,3256,3402,3301,3438,3378,3388,2954,2655,1963,1152,692,468,38170,79836
"Chifley","Eligible participants",1828,5459,5111,5205,5302,4757,4746,4400,4280,3517,3090,2257,1331,824,609,52716,108016
"Chifley","Participation rate (%)",70.4,65.1,64.2,62.6,64.2,69.4,72.4,76.8,79.2,84,85.9,87,86.6,84,76.8,72.4,73.9
"Cook","Total participants",1070,2871,2710,2771,2857,3249,3671,3495,3579,3280,3021,2712,1991,1496,1419,40192,86538
"Cook","Eligible participants",1383,3855,3818,3815,3908,4317,4746,4377,4321,3789,3402,2985,2153,1655,1663,50187,105251
"Cook","Participation rate (%)",77.4,74.5,71,72.6,73.1,75.3,77.3,79.8,82.8,86.6,88.8,90.9,92.5,90.4,85.3,80.1,82.2
"Cowper","Total participants",1012,2333,2251,2284,2322,2732,3221,3538,4274,4692,4908,4290,2972,1975,1650,44454,96125
"Cowper","Eligible participants",1462,3830,3674,3489,3489,3927,4522,4619,5378,5625,5568,4732,3280,2230,1990,57815,121322
"Cowper","Participation rate (%)",69.2,60.9,61.3,65.5,66.6,69.6,71.2,76.6,79.5,83.4,88.1,90.7,90.6,88.6,82.9,76.9,79.2
"Cunningham","Total participants",1323,3947,3427,3218,3166,3469,3656,3708,3961,3589,3174,2685,1962,1387,1229,43901,93014
"Cunningham","Eligible participants",1718,5360,4774,4387,4328,4613,4704,4620,4769,4097,3558,2972,2159,1578,1472,55109,113621
"Cunningham","Participation rate (%)",77,73.6,71.8,73.4,73.2,75.2,77.7,80.3,83.1,87.6,89.2,90.3,90.9,87.9,83.5,79.7,81.9
"Dobell","Total participants",1272,3184,2914,2898,2841,3063,3442,3443,3696,3534,3468,2973,2202,1405,1334,41669,90717
"Dobell","Eligible participants",1718,4724,4345,4292,4260,4372,4744,4480,4544,4173,3905,3356,2435,1589,1612,54549,114992
"Dobell","Participation rate (%)",74,67.4,67.1,67.5,66.7,70.1,72.6,76.9,81.3,84.7,88.8,88.6,90.4,88.4,82.8,76.4,78.9
"Eden-Monaro","Total participants",973,2274,2409,2500,2559,3122,3655,4010,4462,4433,4113,3282,2142,1228,915,42077,88398
"Eden-Monaro","Eligible participants",1328,3455,3597,3686,3676,4367,4957,5097,5477,5216,4708,3669,2423,1406,1128,54190,110537
"Eden-Monaro","Participation rate (%)",73.3,65.8,67,67.8,69.6,71.5,73.7,78.7,81.5,85,87.4,89.5,88.4,87.3,81.1,77.6,80
"Farrer","Total participants",1008,2759,2367,2280,2449,2683,3244,3441,4295,4131,4152,3453,2585,1678,1287,41812,88006
"Farrer","Eligible participants",1458,4439,3839,3660,3733,3982,4541,4560,5342,4980,4757,3898,2866,1906,1539,55500,113675
"Farrer","Participation rate (%)",69.1,62.2,61.7,62.3,65.6,67.4,71.4,75.5,80.4,83,87.3,88.6,90.2,88,83.6,75.3,77.4
"Fowler","Total participants",1031,3460,2998,2695,2564,2697,3112,3375,3708,3346,2876,2162,1437,899,747,37107,76857
"Fowler","Eligible participants",1412,5120,4549,4190,4019,4096,4536,4769,5018,4271,3581,2547,1753,1123,1015,51999,106108
"Fowler","Participation rate (%)",73,67.6,65.9,64.3,63.8,65.8,68.6,70.8,73.9,78.3,80.3,84.9,82,80.1,73.6,71.4,72.4
"Gilmore","Total participants",912,2411,2201,2243,2271,2533,3024,3378,4459,4967,5395,4789,3264,2061,1550,45458,96011
"Gilmore","Eligible participants",1284,3719,3442,3417,3364,3720,4234,4382,5473,5809,6031,5297,3612,2293,1866,57943,119120
"Gilmore","Participation rate (%)",71,64.8,63.9,65.6,67.5,68.1,71.4,77.1,81.5,85.5,89.5,90.4,90.4,89.9,83.1,78.5,80.6
"Grayndler","Total participants",709,2946,4569,4766,4737,4477,4299,3721,3152,2631,2313,1837,1116,786,659,42718,91773
"Grayndler","Eligible participants",826,3626,5589,5851,5769,5459,5199,4387,3707,3097,2680,2088,1293,932,864,51367,107847
"Grayndler","Participation rate (%)",85.8,81.2,81.7,81.5,82.1,82,82.7,84.8,85,85,86.3,88,86.3,84.3,76.3,83.2,85.1
"Greenway","Total participants",1260,3163,2996,3661,4370,4190,3767,3448,3302,2796,2441,1850,1135,650,492,39521,82213
"Greenway","Eligible participants",1687,4518,4374,5463,6509,6019,5053,4416,4068,3386,2791,2093,1288,748,596,53009,107466
"Greenway","Participation rate (%)",74.7,70,68.5,67,67.1,69.6,74.5,78.1,81.2,82.6,87.5,88.4,88.1,86.9,82.6,74.6,76.5
"Hughes","Total participants",1346,3373,3064,3153,3439,3705,3831,3699,3765,3488,3053,2504,1562,908,774,41664,88080
"Hughes","Eligible participants",1706,4400,4155,4124,4417,4811,4823,4466,4385,3904,3351,2717,1681,991,913,50844,105118
"Hughes","Participation rate (%)",78.9,76.7,73.7,76.5,77.9,77,79.4,82.8,85.9,89.3,91.1,92.2,92.9,91.6,84.8,81.9,83.8
"Hume","Total participants",1209,3075,3057,3087,3056,3377,3713,3650,3839,3610,3452,2745,1825,1069,726,41490,87768
"Hume","Eligible participants",1665,4539,4457,4518,4440,4668,4975,4679,4705,4202,3934,3030,2038,1194,876,53920,111225
"Hume","Participation rate (%)",72.6,67.7,68.6,68.3,68.8,72.3,74.6,78,81.6,85.9,87.7,90.6,89.5,89.5,82.9,76.9,78.9
"Hunter","Total participants",1178,3119,3047,3259,2964,3162,3626,3684,4096,3880,3862,3307,2097,1350,1054,43686,92111
"Hunter","Eligible participants",1653,4795,4740,4785,4449,4597,4995,4754,5049,4548,4337,3644,2297,1509,1260,57413,117364
"Hunter","Participation rate (%)",71.3,65,64.3,68.1,66.6,68.8,72.6,77.5,81.1,85.3,89,90.8,91.3,89.5,83.7,76.1,78.5
"Kingsford Smith","Total participants",1053,3148,3420,3656,3800,3805,3751,3466,3255,2800,2517,2202,1666,1215,1027,40781,88032
"Kingsford Smith","Eligible participants",1333,4286,4810,5119,5258,5108,4867,4358,4065,3382,2957,2538,1925,1411,1267,52684,110431
