"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Age.and.or.gender.nfd..b.","Total.Persons"
"Banks","Total participants",2355,6361,5933,5913,6336,6726,7354,7455,7752,6801,5944,4906,3721,3024,3265,480,84326
"Banks","Eligible participants",2945,8319,7995,8258,8559,8750,9290,9258,9347,8017,6777,5501,4165,3474,4027,572,105254
"Banks","Participation rate (%)",80,76.5,74.2,71.6,74,76.9,79.2,80.5,82.9,84.8,87.7,89.2,89.3,87,81.1,83.9,80.1
"Barton","Total participants",2038,6252,6638,7531,7298,7520,7849,7431,6740,6165,5650,4711,3754,2848,2542,396,85363
"Barton","Eligible participants",2587,8287,9110,10578,10085,9830,9916,9323,8476,7518,6646,5471,4338,3431,3310,465,109371
"Barton","Participation rate (%)",78.8,75.4,72.9,71.2,72.4,76.5,79.2,79.7,79.5,82,85,86.1,86.5,83,76.8,85.2,78
"Bennelong","Total participants",2355,6842,6226,6583,6996,7026,7687,7838,7587,6904,5868,4475,3542,2806,3187,480,86402
"Bennelong","Eligible participants",2886,8756,8282,9000,9516,9047,9424,9469,8961,7940,6591,4957,3930,3188,3857,571,106375
"Bennelong","Participation rate (%)",81.6,78.1,75.2,73.1,73.5,77.7,81.6,82.8,84.7,87,89,90.3,90.1,88,82.6,84.1,81.2
"Berowra","Total participants",3085,7566,5303,4642,5678,7328,8414,8552,8761,7599,6636,5760,3891,2542,2694,601,89052
"Berowra","Eligible participants",3739,9258,6723,5911,7206,9143,10190,10015,10013,8521,7278,6215,4220,2787,3168,703,105090
"Berowra","Participation rate (%)",82.5,81.7,78.9,78.5,78.8,80.1,82.6,85.4,87.5,89.2,91.2,92.7,92.2,91.2,85,85.5,84.7
"Blaxland","Total participants",2368,7161,6616,6617,6345,6305,6591,6642,6850,6044,5215,4200,2955,2139,2273,231,78552
"Blaxland","Eligible participants",3150,9822,9466,9607,9149,8765,8900,8722,8791,7554,6201,4960,3515,2583,2965,285,104435
"Blaxland","Participation rate (%)",75.2,72.9,69.9,68.9,69.4,71.9,74.1,76.2,77.9,80,84.1,84.7,84.1,82.8,76.7,81.1,75.2
"Bradfield","Total participants",3118,7013,5113,4678,6200,7331,8811,8483,7975,6452,6112,5617,4261,3259,3770,617,88810
"Bradfield","Eligible participants",3659,8602,6504,6386,8159,9215,10623,9995,9186,7372,6832,6145,4617,3600,4474,702,106071
"Bradfield","Participation rate (%)",85.2,81.5,78.6,73.3,76,79.6,82.9,84.9,86.8,87.5,89.5,91.4,92.3,90.5,84.3,87.9,83.7
"Calare","Total participants",2418,5794,5872,6053,5862,6473,7574,7646,8636,8000,8040,6867,4636,3153,2637,494,90155
"Calare","Eligible participants",3270,8783,8836,8775,8363,8841,9915,9628,10354,9344,9042,7640,5229,3602,3281,594,115497
"Calare","Participation rate (%)",73.9,66,66.5,69,70.1,73.2,76.4,79.4,83.4,85.6,88.9,89.9,88.7,87.5,80.4,83.2,78.1
"Chifley","Total participants",2581,7387,6712,6918,6964,6780,7114,6950,6940,6168,5488,4062,2526,1593,1258,395,79836
"Chifley","Eligible participants",3595,10965,10274,10642,10506,9559,9582,8913,8581,7341,6373,4674,2939,1909,1669,494,108016
"Chifley","Participation rate (%)",71.8,67.4,65.3,65,66.3,70.9,74.2,78,80.9,84,86.1,86.9,85.9,83.4,75.4,80,73.9
"Cook","Total participants",2241,5970,5893,5908,6066,6813,7692,7331,7421,6930,6408,5745,4298,3404,3738,680,86538
"Cook","Eligible participants",2792,7645,7787,7753,7947,8818,9681,8913,8796,7896,7157,6310,4680,3796,4472,808,105251
"Cook","Participation rate (%)",80.3,78.1,75.7,76.2,76.3,77.3,79.5,82.3,84.4,87.8,89.5,91,91.8,89.7,83.6,84.2,82.2
"Cowper","Total participants",2124,4860,4805,4841,5069,5968,7151,7693,9483,9865,10109,8922,6244,4392,4101,498,96125
"Cowper","Eligible participants",2978,7546,7324,7158,7260,8193,9451,9729,11511,11515,11322,9792,6883,4971,5088,601,121322
"Cowper","Participation rate (%)",71.3,64.4,65.6,67.6,69.8,72.8,75.7,79.1,82.4,85.7,89.3,91.1,90.7,88.4,80.6,82.9,79.2
"Cunningham","Total participants",2810,8203,7041,6707,6564,7276,7611,7723,8199,7454,6567,5610,4249,3084,3142,774,93014
"Cunningham","Eligible participants",3517,10597,9334,8739,8611,9299,9443,9320,9626,8455,7314,6221,4746,3566,3919,914,113621
"Cunningham","Participation rate (%)",79.9,77.4,75.4,76.7,76.2,78.2,80.6,82.9,85.2,88.2,89.8,90.2,89.5,86.5,80.2,84.7,81.9
"Dobell","Total participants",2664,6660,6119,6164,6065,6518,7421,7269,7975,7629,7459,6461,4766,3304,3440,803,90717
"Dobell","Eligible participants",3463,9405,8764,8626,8604,8882,9711,9126,9566,8851,8352,7191,5288,3769,4380,1014,114992
"Dobell","Participation rate (%)",76.9,70.8,69.8,71.5,70.5,73.4,76.4,79.7,83.4,86.2,89.3,89.8,90.1,87.7,78.5,79.2,78.9
"Eden-Monaro","Total participants",2095,4827,5031,5409,5590,6606,7923,8292,9247,8954,8188,6402,4237,2598,2309,690,88398
"Eden-Monaro","Eligible participants",2740,6894,7128,7559,7656,8795,10250,10211,11010,10338,9269,7143,4816,3008,2899,821,110537
"Eden-Monaro","Participation rate (%)",76.5,70,70.6,71.6,73,75.1,77.3,81.2,84,86.6,88.3,89.6,88,86.4,79.6,84,80
"Farrer","Total participants",2253,5486,5086,4908,5261,5813,6869,7342,8792,8453,8245,7062,5265,3615,3202,354,88006
"Farrer","Eligible participants",3066,8520,7674,7415,7638,8246,9249,9427,10682,9988,9384,7944,5894,4157,3966,425,113675
"Farrer","Participation rate (%)",73.5,64.4,66.3,66.2,68.9,70.5,74.3,77.9,82.3,84.6,87.9,88.9,89.3,87,80.7,83.3,77.4
"Fowler","Total participants",2156,7007,6095,5583,5379,5762,6598,6834,7467,6980,5889,4156,2979,1975,1781,216,76857
"Fowler","Eligible participants",2904,9951,9010,8543,8282,8554,9376,9409,9915,8908,7313,4982,3693,2535,2460,273,106108
"Fowler","Participation rate (%)",74.2,70.4,67.6,65.4,64.9,67.4,70.4,72.6,75.3,78.4,80.5,83.4,80.7,77.9,72.4,79.1,72.4
"Gilmore","Total participants",1974,4852,4599,4652,4758,5433,6483,7295,9558,10449,11085,9633,6629,4327,3720,564,96011
"Gilmore","Eligible participants",2644,7154,6825,6762,6766,7559,8615,9112,11378,11947,12304,10604,7318,4858,4598,676,119120
"Gilmore","Participation rate (%)",74.7,67.8,67.4,68.8,70.3,71.9,75.3,80.1,84,87.5,90.1,90.8,90.6,89.1,80.9,83.4,80.6
"Grayndler","Total participants",1499,6426,9799,10189,10012,9469,9032,7555,6706,5683,5016,3804,2455,1755,1574,799,91773
"Grayndler","Eligible participants",1722,7638,11537,12153,11941,11216,10609,8785,7748,6512,5690,4320,2877,2087,2079,933,107847
"Grayndler","Participation rate (%)",87,84.1,84.9,83.8,83.8,84.4,85.1,86,86.6,87.3,88.2,88.1,85.3,84.1,75.7,85.6,85.1
"Greenway","Total participants",2557,6486,6178,7713,8985,8454,7795,6972,6700,5830,5085,3801,2312,1484,1268,593,82213
"Greenway","Eligible participants",3317,8892,8650,11182,12928,11712,10207,8723,8158,6937,5779,4293,2648,1737,1587,716,107466
"Greenway","Participation rate (%)",77.1,72.9,71.4,69,69.5,72.2,76.4,79.9,82.1,84,88,88.5,87.3,85.4,79.9,82.8,76.5
"Hughes","Total participants",2708,6870,6395,6680,7247,7839,8159,7644,7925,7126,6220,5245,3172,1981,1983,886,88080
"Hughes","Eligible participants",3323,8606,8221,8412,9093,9826,10015,9072,9058,7930,6805,5669,3441,2212,2393,1042,105118
"Hughes","Participation rate (%)",81.5,79.8,77.8,79.4,79.7,79.8,81.5,84.3,87.5,89.9,91.4,92.5,92.2,89.6,82.9,85,83.8
"Hume","Total participants",2566,6431,6441,6550,6411,7151,7791,7686,7997,7402,7085,5579,3602,2246,1918,912,87768
"Hume","Eligible participants",3370,9014,9039,9228,8956,9595,10137,9538,9562,8549,7963,6156,4039,2583,2386,1110,111225
"Hume","Participation rate (%)",76.1,71.3,71.3,71,71.6,74.5,76.9,80.6,83.6,86.6,89,90.6,89.2,87,80.4,82.2,78.9
"Hunter","Total participants",2507,6382,6492,6812,6184,6707,7538,7681,8455,8190,7907,6702,4403,3037,2626,488,92111
"Hunter","Eligible participants",3370,9399,9518,9583,8904,9231,9930,9572,10130,9409,8819,7366,4852,3439,3229,613,117364
"Hunter","Participation rate (%)",74.4,67.9,68.2,71.1,69.5,72.7,75.9,80.2,83.5,87,89.7,91,90.7,88.3,81.3,79.6,78.5
"Kingsford Smith","Total participants",2260,6719,7210,7850,8120,7971,8014,7268,6811,5991,5414,4849,3638,2679,2678,560,88032
"Kingsford Smith","Eligible participants",2753,8637,9578,10488,10811,10379,10087,8953,8260,7122,6313,5575,4201,3150,3446,678,110431
"Kingsford Smith","Participation rate (%)",82.1,77.8,75.3,74.8,75.1,76.8,79.4,81.2,82.5,84.1,85.8,87,86.6,85,77.7,82.6,79.7
"Lindsay","Total participants",2607,7623,7871,7981,7604,7497,7433,6909,7317,6779,6311,4622,2927,1790,1442,887,87600
"Lindsay","Eligible participants",3518,10969,11406,11712,10796,10299,9815,8732,8848,7899,7119,5131,3290,2078,1829,1114,114555
